word	archphoneme
tetola	/te.ˈtɔ.la/
tatolo	/ta.ˈto.lʊ/
nofilo	/no.ˈfi.lʊ/
zofisu	/zo.fi.ˈzu/
bocito	/bo.ˈsi.tʊ/
cadegu	/ka.de.ˈgu/
coduga	/ko.ˈdu.ga/
cudoga	/ku.ˈdɔ.ga/
tefaza	/te.ˈfa.za/
sedafa	/se.ˈda.fa/
revafa	/He.ˈva.fa/
dacodo	/da.ˈkɔ.dʊ/
decode	/de.ˈkɔ.Dɪ/
ducoda	/du.ˈkɔ.da/
pevebal	/pe.ve.ˈbaw/
befipal	/be.fi.ˈpaw/
mefebal	/me.fe.ˈbaw/
faduril	/fa.du.ˈɾiw/
fodoral	/fo.do.ˈɾaw/
fidarel	/fi.da.ˈɾew/
pitidar	/pi.Ti.ˈdaR/
dipinar	/Di.pi.ˈnaR/
sipivar	/si.pi.ˈvaR/
mulotar	/mu.lo.ˈtaR/
malutor	/ma.lu.ˈtoR/
molitur	/mo.Li.ˈtuR/
mogutar	/mo.gu.ˈtaR/
lonutar	/lo.nu.ˈtaR/
zoricar	/zo.ɾi.ˈkaR/
pipalor	/pi.pa.ˈloR/
papilor	/pa.pi.ˈloR/
pepalir	/pe.pa.ˈLiR/
gonitel	/go.ni.ˈtɛw/
lomipel	/lo.mi.ˈpɛw/
rovinel	/Ho.vi.ˈnew/
pacevol	/pa.se.ˈvow/
pecival	/pe.si.ˈvaw/
puceval	/pu.se.ˈvaw/
fanaler	/fa.na.ˈleR/
zamafer	/za.ma.ˈfeR/
napaver	/na.pa.ˈveR/
corutar	/ko.ɾu.ˈtaR/
carotir	/ka.ɾo.ˈTiR/
coruter	/ko.ɾu.ˈteR/
mizidil	/mi.zi.ˈDiw/
fidimil	/fi.Di.ˈmiw/
fepibil	/fe.pi.ˈbiw/
dufical	/du.fi.ˈkaw/
dafocol	/da.fo.ˈkow/
dafical	/da.fi.ˈkaw/
taleto	/ta.ˈle.tʊ/
pabeto	/pa.ˈbe.tʊ/
palevo	/pa.ˈle.vʊ/
pileto	/pi.ˈlɛ.tʊ/
paluto	/pa.ˈlu.tʊ/
poleto	/po.ˈlɛ.tʊ/
bavali	/ba.va.ˈLi/
japali	/ʒa.pa.ˈLi/
javari	/ʒa.va.ˈɾi/
juvali	/ʒu.va.ˈLi/
javoli	/ʒa.vo.ˈLi/
javala	/ʒa.ˈva.la/
nabare	/na.ˈba.ɾɪ/
camare	/ka.ˈma.ɾɪ/
cabate	/ka.ˈba.Tɪ/
cobare	/ko.ˈba.ɾɪ/
cabure	/ka.ˈbu.ɾɪ/
cabara	/ka.ˈba.ɾa/
nafari	/na.fa.ˈɾi/
savari	/sa.va.ˈɾi/
safapi	/sa.fa.ˈpi/
sefari	/se.fa.ˈɾi/
safuri	/sa.fu.ˈɾi/
safara	/sa.ˈfa.ɾa/
lateta	/la.ˈte.ta/
pafeta	/pa.ˈfe.ta/
pateda	/pa.ˈte.da/
puteta	/pu.ˈte.ta/
patuta	/pa.ˈtu.ta/
patetu	/pa.te.ˈtu/
vacola	/va.ˈkɔ.la/
sanola	/sa.ˈnɔ.la/
sacoda	/sa.ˈkɔ.da/
sucola	/su.ˈkɔ.la/
sacala	/sa.ˈka.la/
sacolo	/sa.ˈko.lʊ/
tetala	/te.ˈta.la/
pefala	/pe.ˈfa.la/
petafa	/pe.ˈta.fa/
patala	/pa.ˈta.la/
petula	/pe.ˈtu.la/
petale	/pe.ˈta.lɪ/
docega	/do.ˈse.ga/
cobega	/ko.ˈbe.ga/
coceca	/ku.ˈsɛ.ka/
cacega	/ka.ˈse.ga/
cucega	/ku.ˈse.ga/
cocegu	/ko.se.ˈgu/
disica	/Di.ˈzi.ka/
tirica	/Ti.ˈɾi.ka/
tisiba	/Ti.ˈzi.ba/
tasica	/ta.ˈzi.ka/
tisaca	/Ti.ˈza.ka/
tisoca	/Ti.ˈzɔ.ka/
becador	/be.ka.ˈdoR/
segador	/se.ga.ˈdoR/
secapor	/se.ka.ˈpoR/
secader	/se.ka.ˈdeR/
secodor	/se.ko.ˈdoR/
secadar	/se.ka.ˈdaR/
nafariz	/na.fa.ˈɾiS/
xabariz	/ʃa.ba.ˈɾiS/
xafadiz	/ʃa.fa.ˈDiS/
xofariz	/ʃo.fa.ˈɾiS/
xafuriz	/ʃa.fu.ˈɾiS/
xafaraz	/ʃa.fa.ˈɾaS/
fecital	/fe.si.ˈtaw/
relital	/He.Li.ˈtaw/
recival	/He.si.ˈvaw/
rucital	/Hu.si.ˈtaw/
racital	/Ha.si.ˈtaw/
recitol	/He.si.ˈtow/
ladaver	/la.da.ˈveR/
cazaver	/ka.za.ˈveR/
cadaber	/ka.da.ˈbeR/
codaver	/ko.da.ˈveR/
cadiver	/ka.Di.ˈveR/
cadavar	/ka.da.ˈvaR/
zutavel	/zu.ta.ˈvew/
muvavel	/mu.va.ˈvew/
mutazel	/mu.ta.ˈzɛw/
mitavel	/mi.ta.ˈvew/
mutevel	/mu.te.ˈvew/
mutaval	/mu.ta.ˈvaw/
davavel	/da.va.ˈvew/
labavel	/la.ba.ˈvew/
lavatel	/la.va.ˈtɛw/
lavavil	/la.va.ˈviw/
lavevel	/la.ve.ˈvew/
lavaval	/la.va.ˈvaw/
tupiter	/tu.pi.ˈteR/
jutiter	/ʒu.Ti.ˈteR/
jupiner	/ʒu.pi.ˈneR/
japiter	/ʒa.pi.ˈteR/
juputer	/ʒu.pu.ˈteR/
jupitor	/ʒu.pi.ˈtoR/
lafape	/la.ˈfa.pɪ/
barane	/ba.ˈɾã.nɪ/
vatabe	/va.ˈta.bɪ/
cabori	/ka.bo.ˈɾi/
cobiro	/ko.ˈbi.ɾʊ/
cubere	/ku.ˈbɛ.ɾɪ/
gumuli	/gu.mu.ˈLi/
govubi	/go.vu.ˈbi/
vunuti	/vu.nu.ˈTi/
socaru	/so.ka.ˈɾu/
sicori	/si.ko.ˈɾi/
sicora	/si.ˈko.ɾa/
bareno	/ba.ˈɾẽ.nʊ/
navedo	/na.ˈve.dʊ/
lacepo	/la.ˈse.pʊ/
cumile	/ku.ˈmi.lɪ/
comalo	/ko.ˈma.lʊ/
camola	/ka.ˈmɔ.la/
davena	/da.ˈvẽ.na/
fabeta	/fa.ˈbe.ta/
capeca	/ka.ˈpe.ka/
mazole	/ma.ˈzɔ.lɪ/
muzola	/mu.ˈzɔ.la/
mezilo	/me.ˈzi.lʊ/
lamofa	/la.ˈmɔ.fa/
dacuga	/da.ˈku.ga/
tagota	/ta.ˈgɔ.ta/
firafe	/fi.ˈɾa.fɪ/
farefo	/fa.ˈɾɛ.fʊ/
firufo	/fi.ˈɾu.fʊ/
narebo	/na.ˈɾɛ.bʊ/
pamezo	/pa.ˈme.zʊ/
tafeno	/ta.ˈfẽ.nʊ/
juluca	/ʒu.ˈlu.ka/
jalica	/ʒa.ˈLi.ka/
jeluci	/ʒe.lu.ˈsi/
gafila	/ga.ˈfi.la/
tapina	/ta.ˈpĩ.na/
lafipa	/la.ˈfi.pa/
soduca	/so.ˈdu.ka/
sedaco	/se.ˈda.kʊ/
sedoca	/se.ˈdɔ.ka/
lemifo	/le.ˈmi.fʊ/
demefo	/de.ˈme.fʊ/
zedeno	/ze.ˈdẽ.nʊ/
pucega	/pu.ˈse.ga/
pacigo	/pa.ˈsi.gʊ/
piciga	/pi.ˈsi.ga/
bufino	/bu.ˈfĩ.nʊ/
nufilo	/nu.ˈfi.lʊ/
zutino	/zu.ˈTĩ.nʊ/
subata	/su.ˈba.ta/
sebeta	/se.ˈbe.ta/
sobite	/so.ˈbi.Tɪ/
mupeval	/mu.pe.ˈvaw/
lufipal	/lu.fi.ˈpaw/
puvebal	/pu.ve.ˈbaw/
fanirel	/fa.ni.ˈɾew/
fenarel	/fo.na.ˈɾew/
finoral	/fi.no.ˈɾaw/
podecor	/po.de.ˈkoR/
votepor	/vo.te.ˈpoR/
motefor	/mo.te.ˈfoR/
cumodor	/ku.mo.ˈdoR/
cameder	/ka.me.ˈdeR/
camoder	/ka.mo.ˈdeR/
sidigar	/si.Di.ˈgaR/
pifitar	/pi.fi.ˈtaR/
ritecar	/Hi.te.ˈkaR/
lomenar	/lo.me.ˈnaR/
lemunor	/le.mu.ˈnoR/
lomenir	/lo.me.ˈniR/
lamater	/la.ma.ˈteR/
nafapir	/na.fa.ˈpiR/
dapamer	/da.pa.ˈmeR/
codivar	/ko.Di.ˈvaR/
cudivor	/ku.Di.ˈvoR/
cadovur	/ka.do.ˈvuR/
sulabel	/su.la.ˈbɛw/
ruvatel	/Hu.va.ˈtɛw/
vupadel	/vu.pa.ˈdew/
mitoval	/mi.to.ˈvaw/
mitavol	/mi.ta.ˈvow/
motevel	/mo.te.ˈvew/
salanel	/sa.la.ˈnew/
fadapel	/fa.da.ˈpɛw/
fapatil	/fa.pa.ˈTiw/
luvivol	/lu.vi.ˈvow/
livoval	/Li.vo.ˈvaw/
levavol	/le.va.ˈvow/
luniver	/lu.ni.ˈveR/
tuzemer	/tu.ze.ˈmeR/
gudiler	/gu.Di.ˈleR/
japutar	/ʒa.pu.ˈtaR/
jepatar	/ʒe.pa.ˈtaR/
jopater	/ʒo.pa.ˈteR/
